url,headline,description,image_url
https://www.deutschlandfunk.de/us-verteidigungsminister-austin-fordert-von-seinem-israelischem-kollegen-galant-besseren-schutz-der--104.html,US-Verteidigungsminister Austin fordert von seinem israelischem Kollegen Galant besseren Schutz der Zivilisten im Gazastreifen,"US-Verteidigungsminister Austin hat seinen israelischen Kollegen Galant in Washington empfangen. Austin äußerte laut Redeprotokoll seinen Unmut über die hohe Zahl ziviler Opfer im Gazastreifen. Zudem erklärte er, dass nicht genügend humanitäre Hilfe in das Kriegsgebiet gelange.",
https://www.deutschlandfunk.de/israel-meldet-tod-von-hochrangigem-hamas-anfuehrer-102.html,Israel meldet Tod von hochrangigem Hamas-Anführer,Israel meldet den Tod eines hochrangigen Anführers des bewaffneten Flügels der militant-islamistischen Hamas.,
https://www.deutschlandfunk.de/debatte-um-aufarbeitung-der-corona-massnahmen-100.html,Debatte um Aufarbeitung der Corona-Maßnahmen,"Vier Jahre nach der Ausbreitung des Coronavirus werden die Stimmen lauter, die eine Aufarbeitung der Pandemie-Maßnahmen in Deutschland fordern. Bei der Frage, welche Maßnahmen hierfür geeignet wären, herrscht jedoch keine Einigkeit.",
https://www.deutschlandfunk.de/schuldenstand-ende-2023-um-gut-drei-prozent-gestiegen-100.html,Schuldenstand Ende 2023 um gut drei Prozent gestiegen,"Die öffentliche Verschuldung in Deutschland ist im vergangenen Jahr um 3,3 Prozent gestiegen.",
https://www.deutschlandfunk.de/ukrainischer-botschafter-makeiev-bestaetigt-treffen-mit-spd-spitze-100.html,Ukrainischer Botschafter Makeiev bestätigt Treffen mit SPD-Spitze,"Nach den umstrittenen Äußerungen des SPD-Fraktionsvorsitzenden Mützenich zum Ukrainekrieg hat es ein Gespräch der Parteispitze mit dem ukrainischen Botschafter in Deutschland, Makeiev, gegeben. Makeiev sagte im Deutschlandfunk, er habe sich in der vergangenen Woche mit SPD-Chef Klingbeil, Fraktionschef Mützenich und Generalsekretär Kühnert hinter verschlossenen Türen getroffen.",
https://www.deutschlandfunk.de/venezuelas-groesstes-oppositionsbuendnis-stellt-bisher-unbekannten-kandidaten-zur-wahl-auf-100.html,Venezuelas größtes Oppositionsbündnis stellt bisher unbekannten Kandidaten zur Wahl auf,Venezuelas größtes Oppositionsbündnis zieht nun doch mit einem eigenen Kandidaten in die Präsidentschaftswahl im Juli.,
https://www.deutschlandfunk.de/tausende-fordern-in-budapest-ruecktritt-von-viktor-orb-n-100.html,Tausende fordern in Budapest Rücktritt von Viktor Orbán,In der ungarischen Hauptstadt Budapest haben tausende Menschen den Rücktritt von Ministerpräsident Orban gefordert. Die Demonstranten warfen der Regierung die Verwicklung in einen Korruptionsfall vor.,
https://www.deutschlandfunk.de/parteiloser-praesidentschaftsbewerber-kennedy-stellt-vize-kandidatin-schanahan-vor-108.html,Parteiloser Präsidentschaftsbewerber Kennedy stellt Vize-Kandidatin Schanahan vor,In den USA hat der parteilose Präsidentschaftsbewerber Robert F. Kennedy die Juristin und Unternehmerin Nicole Shanahan als Vizepräsidentschaftskandidatin benannt.,
https://www.deutschlandfunk.de/scholz-angekuendigte-grenzkontrollen-waehrend-der-fussball-em-nichts-ungewoehnliches-100.html,Scholz: Angekündigte Grenzkontrollen während der Fußball-EM nichts ungewöhnliches,Bundeskanzler Scholz hat sich während eines Besuchs in Slowenien zur Sicherheitslage in Deutschland nach dem Terroranschlag in Russland geäußert.,
https://www.deutschlandfunk.de/2-13-20-32-41-100.html,2 - 13 - 20 - 32 - 41 - 44,Die Lottozahlen: 2 - 13 - 20 - 32 - 41 - 44,
https://www.deutschlandfunk.de/verbreitet-bewoelkt-mit-weiteren-niederschlaegen-110.html,Verbreitet bewölkt mit weiteren Niederschlägen,"Das Wetter: Nachts meist bewölkt und regnerisch, im Osten größere Wolkenlücken und weitgehend trocken. Tiefstwerte 9 bis 0 Grad. Am Tag verbreitet bewölkt mit weiteren Niederschlägen bei 9 bis 15 Grad.",
